slang,formal
apk,aplikasi
apl,aplikasi
app,aplikasi
aplikasinya,aplikasi
mbanking,mobile banking
ebanking,internet banking
ibanking,internet banking
internetbanking,internet banking
trf,transfer
tf,transfer
transferan,transfer
trans,transaksi
transaksinya,transaksi
notif,notifikasi
notifnya,notifikasi
verif,verifikasi
verifikasinya,verifikasi
otp,kode otp
cs,customer service
csnya,customer service
bca,bca
bni,bni
bri,bri
bsi,bsi
mandiri,mandiri
ewalet,dompet digital
ewallet,dompet digital
dompetdigital,dompet digital
saldonya,saldo
ngecek,cek
cekin,cek
ngirim,kirim
nerima,terima
ngambil,ambil
nyetor,setor
narik,tarik
updatenya,update
loginnya,login
register,daftar
