,Topic_Label,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
T0,Saldo terpotong / transaksi gagal,0.2634,0.3378,0.3606,0.2605,0.3196,0.3265,0.3429,0.3035,0.3464,0.2963,0.4198,0.4006
T1,Gangguan & error chronic,0.1107,0.0697,0.1871,0.3643,0.2309,0.2041,0.2873,0.3188,0.3107,0.3898,0.2594,0.2404
T2,Permintaan perbaikan,0.0916,0.0664,0.0945,0.1576,0.1237,0.1122,0.1041,0.1201,0.1214,0.1430,0.1156,0.1506
T3,BSI Mobile vs BYOND comparison,0.0573,0.0606,0.0848,0.1051,0.1031,0.0680,0.1005,0.0633,0.0732,0.0535,0.0330,0.0449
T4,Verifikasi wajah gagal,0.2405,0.1203,0.1014,0.0227,0.1010,0.1429,0.0521,0.0895,0.0339,0.0232,0.0849,0.1026
T5,Overlapping popups bug,0.0382,0.2050,0.0936,0.0165,0.0598,0.0646,0.0180,0.0218,0.0143,0.0032,0.0142,0.0000
T6,Sarcasm post-update,0.0038,0.0083,0.0195,0.0253,0.0124,0.0238,0.0162,0.0087,0.0179,0.0152,0.0165,0.0128
T7,Bukti transfer / resi sharing fail,0.0840,0.0730,0.0175,0.0016,0.0103,0.0068,0.0018,0.0022,0.0018,0.0016,0.0000,0.0000
T8,Developer mode restriction,0.0916,0.0448,0.0146,0.0039,0.0124,0.0136,0.0036,0.0131,0.0107,0.0040,0.0047,0.0096
T9,Maintenance jam sibuk,0.0000,0.0000,0.0029,0.0143,0.0062,0.0034,0.0269,0.0087,0.0232,0.0272,0.0071,0.0032
T10,Sentiment ekstrem: MB terburuk,0.0000,0.0025,0.0068,0.0117,0.0062,0.0034,0.0233,0.0066,0.0268,0.0168,0.0142,0.0064
T11,First-launch install issue,0.0115,0.0100,0.0039,0.0039,0.0041,0.0068,0.0072,0.0240,0.0071,0.0072,0.0212,0.0096
T12,Aplikasi gak bisa dibuka chronic,0.0038,0.0008,0.0029,0.0068,0.0041,0.0204,0.0072,0.0087,0.0071,0.0088,0.0071,0.0128
T13,Loading lambat (network OK),0.0038,0.0008,0.0097,0.0058,0.0062,0.0034,0.0090,0.0109,0.0054,0.0104,0.0024,0.0064
