Topic,Label,Series_Type,MK_trend,MK_p_value,MK_z,Sen_slope,Sen_intercept,Tau,Significant,Classification,MK_p_value_adj,Significant_FDR,Classification_FDR
0,Saldo & transaksi gagal,frequency,no trend,0.49634232925008503,-0.6802560792923641,-0.22727272727272727,42.79545454545455,-0.09200603318250378,False,stable,0.5982914091135028,False,stable
1,Gangguan & maintenance,frequency,no trend,0.19591094342187243,1.2932895214344513,0.17902930402930403,15.934752747252748,0.1493212669683258,False,stable,0.39182188684374486,False,stable
2,Permohonan perbaikan,frequency,no trend,0.8838218835774787,-0.14612604827152653,0.0,12.0,-0.01809954751131222,False,stable,0.8838218835774787,False,stable
3,Aplikasi lemot,frequency,decreasing,0.027506754882772988,-2.204250174920226,-0.18604651162790697,12.244186046511627,-0.2865761689291101,True,declining,0.07701891367176436,False,stable
4,Verifikasi wajah gagal,frequency,decreasing,0.0003364000378014431,-3.5855255707044233,-0.31414473684210525,17.010690789473685,-0.4502262443438914,True,declining,0.004709600529220204,True,declining
5,Pop-up overlapping,frequency,decreasing,0.0007918355412233069,-3.355633061499298,-0.2857142857142857,10.285714285714285,-0.5701357466063348,True,declining,0.005542848788563148,True,declining
6,Update memperburuk,frequency,no trend,0.5181943894987935,-0.6461312024929464,0.0,1.5,-0.07541478129713423,False,stable,0.5982914091135028,False,stable
7,Bukti transfer/resi,frequency,decreasing,0.001799407841876599,-3.1214860315867963,-0.06451612903225806,2.1451612903225805,-0.5248868778280543,True,declining,0.006572377946559738,True,declining
8,Blokir developer mode,frequency,decreasing,0.0018778222704456393,-3.1089047789383764,-0.09090909090909091,3.8181818181818183,-0.4796380090497738,True,declining,0.006572377946559738,True,declining
9,Maintenance malam hari,frequency,no trend,0.14135053391212438,1.4707803289196542,0.0,0.0,0.19230769230769232,False,stable,0.32981791246162356,False,stable
10,Sentimen ekstrem negatif,frequency,no trend,0.22599148740743535,1.2107493369910323,0.0,1.0,0.11613876319758673,False,stable,0.39548510296301187,False,stable
11,Login pasca update,frequency,no trend,0.5555563084625383,0.5894546751834538,0.0,1.0,0.04600301659125189,False,stable,0.5982914091135028,False,stable
12,Aplikasi tidak bisa dibuka,frequency,no trend,0.36597896245522676,0.9040310024401093,0.0,0.5,0.07993966817496229,False,stable,0.5123705474373175,False,stable
13,Loading meski sinyal bagus,frequency,no trend,0.2613255795308902,1.1232635499163675,0.0,0.0,0.08521870286576169,False,stable,0.4065064570480514,False,stable
