Topic,Label,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Mean
0,Mobile Banking comparison,0.1667,0.1316,0.1289,0.2367,0.1949,0.2177,0.1391,0.165,0.2344,0.1101,0.1628,0.1157,0.167
1,Verifikasi wajah gagal,0.3021,0.3158,0.2852,0.2735,0.0551,0.0748,0.1261,0.1311,0.0938,0.1927,0.1705,0.2037,0.1854
2,Saldo terpotong / transaksi gagal,0.125,0.1513,0.0859,0.0776,0.0968,0.1088,0.1696,0.2282,0.2188,0.2018,0.2016,0.2361,0.1585
3,Gangguan & maintenance,0.0312,0.0263,0.0273,0.0204,0.2463,0.1905,0.0696,0.1068,0.1328,0.0826,0.1163,0.0741,0.0937
4,Tarik tunai tanpa kartu,0.0833,0.0789,0.1172,0.1061,0.0637,0.1066,0.1304,0.1117,0.0469,0.0642,0.062,0.0694,0.0867
5,Aplikasi gak bisa dibuka,0.0417,0.0066,0.0195,0.0367,0.1176,0.0408,0.0652,0.0194,0.1016,0.0917,0.0543,0.0509,0.0538
6,OTP / kode verifikasi email,0.0729,0.1513,0.2227,0.0857,0.0208,0.0091,0.0348,0.0194,0.0469,0.0275,0.0155,0.0509,0.0631
7,Error 'kendala tim perbaiki',0.0208,0.0395,0.0195,0.0286,0.0699,0.0431,0.0435,0.0534,0.0312,0.0734,0.062,0.0694,0.0462
8,Password / PIN salah,0.1146,0.0395,0.0547,0.0816,0.0086,0.0272,0.0609,0.0485,0.0312,0.0459,0.0698,0.0278,0.0509
9,Sesi berakhir saat login,0.0104,0.0132,0.0039,0.0122,0.0294,0.0794,0.0652,0.0583,0.0156,0.0092,0.0155,0.0231,0.028
10,Premature launch complaint,0.0,0.0263,0.0273,0.0245,0.0502,0.0476,0.0217,0.0097,0.0078,0.0092,0.0078,0.0046,0.0197
11,Permintaan perbaikan bug,0.0208,0.0132,0.0039,0.0163,0.0294,0.0272,0.0217,0.0097,0.0156,0.0367,0.0233,0.0509,0.0224
12,Limit top-up wallet,0.0104,0.0066,0.0039,0.0,0.0172,0.0272,0.0522,0.0388,0.0234,0.055,0.0388,0.0231,0.0247
