Topic,Label,Series_Type,MK_trend,MK_p_value,MK_z,Sen_slope,Sen_intercept,Tau,Significant,Classification,MK_p_value_adj,Significant_FDR,Classification_FDR
0,Mobile Banking comparison,proportion,no trend,0.3982860023078105,-0.8446863148382571,-0.0005525030525030524,0.1807554945054945,-0.09954751131221719,False,stable,0.43147650250012803,False,stable
1,Verifikasi wajah gagal,proportion,no trend,0.26325809089929897,-1.1187235599972696,-0.002509237956999152,0.2348189012368117,-0.1847662141779789,False,stable,0.34223551816908865,False,stable
2,Saldo terpotong / transaksi gagal,proportion,increasing,0.00044468227146676753,3.5120392792051045,0.002794317375682701,0.07370289011336842,0.33634992458521873,True,emerging,0.0014452173822669945,True,emerging
3,Gangguan & maintenance,proportion,increasing,0.00026127434228628843,3.650947801102451,0.001923291360735607,0.009213988853278225,0.3491704374057315,True,emerging,0.0014452173822669945,True,emerging
4,Tarik tunai tanpa kartu,proportion,decreasing,0.03243089454543213,-2.1390589484430853,-0.0010549360640901512,0.11750096339894958,-0.20512820512820512,True,declining,0.05510696024807257,False,stable
5,Aplikasi gak bisa dibuka,proportion,increasing,0.010977827295790776,2.543403826762647,0.0008396535964951568,0.01829009115100872,0.24283559577677225,True,emerging,0.028542350969056017,True,emerging
6,OTP / kode verifikasi email,proportion,decreasing,0.03391197553727543,-2.1211167877187598,-0.0010250593926210035,0.06482949070231178,-0.25414781297134237,True,declining,0.05510696024807257,False,stable
7,Error 'kendala tim perbaiki',proportion,increasing,0.0003362851715502657,3.5856146886804816,0.001107098527649375,0.016884319973706204,0.34238310708898945,True,emerging,0.0014452173822669945,True,emerging
8,Password / PIN salah,proportion,no trend,0.24700036067958075,-1.1576660082353378,-0.00031746031746031735,0.0548343685300207,-0.083710407239819,False,stable,0.34223551816908865,False,stable
9,Sesi berakhir saat login,proportion,no trend,0.6022394571044993,0.5211827680795502,0.0,0.018518518518518517,0.08748114630467571,False,stable,0.6022394571044993,False,stable
10,Premature launch complaint,proportion,no trend,0.3702922588725732,-0.8959260524127871,0.0,0.007462686567164179,-0.1297134238310709,False,stable,0.43147650250012803,False,stable
11,Permintaan perbaikan bug,proportion,increasing,0.027830096574802843,2.199673101164199,1.5748031496063027e-05,0.014873611764014572,0.17571644042232276,True,emerging,0.05510696024807257,False,stable
12,Limit top-up wallet,proportion,increasing,0.00025329949211516656,3.658900663697876,0.0005797118983094593,0.0010085699973641053,0.28582202111613875,True,emerging,0.0014452173822669945,True,emerging
